network,metric_name,metric_value
2017#1,Total node count,22286.0
2017#1,Total edge count,33167.0
2017#1,Density,0.0001335646165999
2017#1,Assortativity,-0.090206181934875
2017#1,Community count,356.0
2017#1,Community modularity,0.8253328552617641
2017#1,Average internal vs external edge ratio,1.2521387314122177
2017#1-GCC,Total node count,21564.0
2017#1-GCC,Total edge count,32739.0
2017#1-GCC,Density,0.0001408175874547
2017#1-GCC,Diameter,19.0
2017#1-GCC,Average shortest path,5.697536880646172
2017#1-GCC,Assortativity,-0.0916346832428045
2018#1,Total node count,19858.0
2018#1,Total edge count,29411.0
2018#1,Density,0.0001491731445349
2018#1,Assortativity,-0.0814901537492657
2018#1,Community count,279.0
2018#1,Community modularity,0.8333498634870334
2018#1,Average internal vs external edge ratio,1.3062650004789709
2018#1-GCC,Total node count,19312.0
2018#1-GCC,Total edge count,29086.0
2018#1-GCC,Density,0.000155984691684
2018#1-GCC,Diameter,20.0
2018#1-GCC,Average shortest path,6.018337693568283
2018#1-GCC,Assortativity,-0.0827070121542974
2016#1,Total node count,16861.0
2016#1,Total edge count,24818.0
2016#1,Density,0.0001746046788397
2016#1,Assortativity,-0.0839964606772138
2016#1,Community count,327.0
2016#1,Community modularity,0.8182954550094883
2016#1,Average internal vs external edge ratio,1.220985443286631
2016#1-GCC,Total node count,16237.0
2016#1-GCC,Total edge count,24456.0
2016#1-GCC,Density,0.0001855370247645
2016#1-GCC,Diameter,16.0
2016#1-GCC,Average shortest path,5.527463439851887
2016#1-GCC,Assortativity,-0.0855246328298553
2017#7,Total node count,21265.0
2017#7,Total edge count,30698.0
2017#7,Density,0.0001357780998921
2017#7,Assortativity,-0.0842579768513538
2017#7,Community count,258.0
2017#7,Community modularity,0.8460826966300967
2017#7,Average internal vs external edge ratio,1.4901457209625366
2017#7-GCC,Total node count,20807.0
2017#7-GCC,Total edge count,30436.0
2017#7-GCC,Density,0.0001406110689286
2017#7-GCC,Diameter,17.0
2017#7-GCC,Average shortest path,5.73963448541627
2017#7-GCC,Assortativity,-0.0851297446052407
2018#7,Total node count,17710.0
2018#7,Total edge count,25358.0
2018#7,Density,0.0001617083307307
2018#7,Assortativity,-0.1296015446804405
2018#7,Community count,265.0
2018#7,Community modularity,0.8552016032229044
2018#7,Average internal vs external edge ratio,1.4410025859587354
2018#7-GCC,Total node count,17216.0
2018#7-GCC,Total edge count,25068.0
2018#7-GCC,Density,0.000169164956212
2018#7-GCC,Diameter,17.0
2018#7-GCC,Average shortest path,6.030093357893339
